#F   AtomicConstants.dat
#UT  Atomic Constants
#D   Tue Feb  4 14:33:31 CET 2003
#C   Atomic Constants from tcl/tk xelem periodic table
#UD  Atomic Constants
#UD
#UD  This file contains information about atomic constants:
#UD  Atomic Radius, Covalent Radius, Atomic Mass, Boiling Point, Melting Point, Density,
#UD  Atomic Volume, Coherent Scattering Length, Incoherent X-section, Absorption@1.8A
#UD  Debye Temperature and Thermal conductivity at 300 K
#UD  The element name is stored under the DABAX keyword #UNAME
#UD
#UD  The data have been taken from the "xelem" periodic table written in tcl-tk by:
#UD     Przemek Klosowski (przemek@rrdstrad.nist.gov)
#UD     Reactor Division (bldg. 235), E111
#UD     National Institute of Standards and Technology
#UD     Gaithersburg, MD 20899, USA. Tel (301) 975 6249
#UD
#UD  The Debye Temperature and Thermal conductivity at 300 K are taken from
#UD  Kittel, Introduction to Solid State Physics, 7th Ed., Wiley, (1996)
#UD
#UD  Non available values have been set to -0.01 (dummy)
#UD
#UD  The scan #S 1000 contains the information for all the elements, where the first
#UD  column is the Atomic Number Z. This is useful to make plots of the values of a given
#UD  variable as a function of Z.
#UD
#UD  Changes:
#UD  2003/03/04 the density of carbon should be 2.26 gm/cm^3 NOT 2.62 gm/cm^3
#UD             <bagnasco@SLAC.Stanford.EDU>
#UD
#C
#S  1  H
#UNAME Hydrogen
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.79  0.32 1.00794 20.268 14.025 0.0899 14.4 -0.374 79.9 0.3326  -0.01 -0.01
#S  2  He
#UNAME Helium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.49  0.93 4.002602 4.215 0.95 0.1787 0.0 0.326 0.0 0.00747  -0.01 -0.01
#S  3  Li
#UNAME Lithium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
2.05  1.23 6.941 1615 453.7 0.53 13.10 -0.190 0.91 70.5  344 0.85
#S  4  Be
#UNAME Beryllium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.40  0.90 9.012182 2745 1560.0 1.85 5.0 0.779 0.005 0.0076  1440 2.00
#S  5  B
#UNAME Boron
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.17  0.82 10.811 4275 2300.0 2.34 4.6 0.530 1.7 767.0  -0.01 0.27
#S  6  C
#UNAME Carbon
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.91  0.77 12.011 4470.0 4100.0 2.26 4.58 0.6648 0.001 0.0035  2230 1.29
#S  7  N
#UNAME Nitrogen
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.75  0.75 14.00674 77.35 63.14 1.251 17.3 0.936 0.49 1.90  -0.01 -0.01
#S  8  O
#UNAME Oxygen
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.65  0.73 15.9994 90.18 50.35 1.429 14.0 0.5805 0.000 0.00019  -0.01 -0.01
#S  9  F
#UNAME Fluorine
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.57  0.72 18.9984032 84.95 53.48 1.696 17.1 0.5654 0.0008 0.0096  -0.01 -0.01
#S  10  Ne
#UNAME Neon
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.51  0.71 20.1797 27.096 24.553 0.901 16.7 0.4547 0.008 0.039  74 -0.01
#S  11  Na
#UNAME Sodium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
2.23  1.54 22.989768 1156 371.0 0.97 23.7 0.363 1.62 0.530  158 1.41
#S  12  Mg
#UNAME Magnesium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.72  1.36 24.3050 1363 922 1.74 13.97 0.5375 0.077 0.063  400 1.56
#S  13  Al
#UNAME Aluminum
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.82  1.18 26.981539 2793 933.25 2.70 10.0 0.3449 0.0085 0.231  428 2.37
#S  14  Si
#UNAME Silicon
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.46  1.11 28.0855 3540.0 1685 2.33 12.1 0.4149 0.015 0.171  645 1.48
#S  15  P
#UNAME Phosphorus
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.23  1.06 30.97362 550.0 317.30 1.82 17.0 0.513 0.006 0.172  -0.01 -0.01
#S  16  S
#UNAME Sulphur
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1.09  1.02 32.066 717.75 388.36 2.07 15.5 0.2847 0.007 0.53  -0.01 -0.01
#S  17  Cl
#UNAME Chlorine
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.97  0.99 35.4527 239.1 172.16 3.17 22.7 0.95792 5.2 33.5  -0.01 -0.01
#S  18  Ar
#UNAME Argon
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
0.88  0.98 39.948 87.30 83.81 1.784 28.5 0.1909 0.22 0.675  92 -0.01
#S  19  K
#UNAME Potassium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
2.77  2.03 39.0983 1032 336.35 0.86 45.46 0.371 0.25 2.1  91 1.02
#S  20  Ca
#UNAME Calcium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
2.23  1.91 40.078 1757 1112 1.55 29.9 0.490 0.03 0.43  230 -0.01
#S  21  Sc
#UNAME Scandium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
2.09  1.62 44.955910 3104 1812 3.0 15.0 1.229 4.5 27.2  360 0.16
#S  22  Ti
#UNAME Titanium
#N 12
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
2.00  1.45 47.88 3562 1943 4.50 10.64 -0.330 2.67 6.09  420 0.22
#S  23  V
